Term	Gene
GO_ADAPTIVE_IMMUNE_RESPONSE	RIPK2
GO_ADAPTIVE_IMMUNE_RESPONSE	RNF125
GO_ADAPTIVE_IMMUNE_RESPONSE	RNF168
GO_ADAPTIVE_IMMUNE_RESPONSE	RNF19B
GO_ADAPTIVE_IMMUNE_RESPONSE	RNF8
GO_ADAPTIVE_IMMUNE_RESPONSE	RORA
GO_ADAPTIVE_IMMUNE_RESPONSE	RORC
GO_ADAPTIVE_IMMUNE_RESPONSE	SEMA4A
GO_ADAPTIVE_IMMUNE_RESPONSE	SERPING1
GO_ADAPTIVE_IMMUNE_RESPONSE	SH2D1A
GO_ADAPTIVE_IMMUNE_RESPONSE	SH2D1B
GO_ADAPTIVE_IMMUNE_RESPONSE	SIT1
GO_ADAPTIVE_IMMUNE_RESPONSE	SKAP1
GO_ADAPTIVE_IMMUNE_RESPONSE	SLA2
GO_ADAPTIVE_IMMUNE_RESPONSE	SLAMF1
GO_ADAPTIVE_IMMUNE_RESPONSE	SLAMF6
GO_ADAPTIVE_IMMUNE_RESPONSE	SLAMF7
GO_ADAPTIVE_IMMUNE_RESPONSE	SLC11A1
GO_ADAPTIVE_IMMUNE_RESPONSE	STAT6
GO_ADAPTIVE_IMMUNE_RESPONSE	SUSD4
GO_ADAPTIVE_IMMUNE_RESPONSE	SWAP70
GO_ADAPTIVE_IMMUNE_RESPONSE	SYK
GO_ADAPTIVE_IMMUNE_RESPONSE	TAP1
GO_ADAPTIVE_IMMUNE_RESPONSE	TAP2
GO_ADAPTIVE_IMMUNE_RESPONSE	TEC
GO_ADAPTIVE_IMMUNE_RESPONSE	TFE3
GO_ADAPTIVE_IMMUNE_RESPONSE	TFEB
GO_ADAPTIVE_IMMUNE_RESPONSE	TGFB1
GO_ADAPTIVE_IMMUNE_RESPONSE	THEMIS
GO_ADAPTIVE_IMMUNE_RESPONSE	TLR4
GO_ADAPTIVE_IMMUNE_RESPONSE	TLR6
GO_ADAPTIVE_IMMUNE_RESPONSE	TLR8
GO_ADAPTIVE_IMMUNE_RESPONSE	TNFRSF11A
GO_ADAPTIVE_IMMUNE_RESPONSE	TNFRSF13B
GO_ADAPTIVE_IMMUNE_RESPONSE	TNFRSF13C
GO_ADAPTIVE_IMMUNE_RESPONSE	TNFRSF17
GO_ADAPTIVE_IMMUNE_RESPONSE	TNFRSF21
GO_ADAPTIVE_IMMUNE_RESPONSE	TNFSF18
GO_ADAPTIVE_IMMUNE_RESPONSE	TRAF6
GO_ADAPTIVE_IMMUNE_RESPONSE	TRAT1
GO_ADAPTIVE_IMMUNE_RESPONSE	TRDC
GO_ADAPTIVE_IMMUNE_RESPONSE	TRPM4
GO_ADAPTIVE_IMMUNE_RESPONSE	TSC1
GO_ADAPTIVE_IMMUNE_RESPONSE	TXK
GO_ADAPTIVE_IMMUNE_RESPONSE	UNC13D
GO_ADAPTIVE_IMMUNE_RESPONSE	UNC93B1
GO_ADAPTIVE_IMMUNE_RESPONSE	VTCN1
GO_ADAPTIVE_IMMUNE_RESPONSE	ZAP70
GO_ADAPTIVE_IMMUNE_RESPONSE	ZP3
