"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Glycosaminoglycan metabolism",1,1,0.743432963039314,0.359943249175262,1,1,0.964447089517148,0.893791978516752,1,1,0.408837852178972,0.65524102926189,1,1,0.685141542352149
"Post-translational modification: synthesis of GPI-anchored proteins",1,1,1,0.679078532343775,0.321709655510996,0.767600826160657,1,1,1,0.942035344306735,0.78457408861181,1,0.959047971608005,0.789338796947537,1
"Glucagon signaling in metabolic regulation",0.950412296712533,1,1,1,1,0.333305339808022,1,0.942052310398637,0.977268429549056,1,0.842424490245567,0.532469591681268,0.985666389978113,1,1
"Integration of energy metabolism",0.950412296712533,1,0.962251925668788,0.862904867187829,1,0.844048085823033,1,1,1,1,0.964802222848313,0.878393140067727,0.782239617240408,1,1
"Keratan sulfate/keratin metabolism",1,0.590951888998947,0.00551363763867612,0.811108052738215,1,1,1,0.906061790908452,1,0.942035344306735,0.844043273483812,0.276346487765566,0.90383722780576,1,0.846197253939858
"Heparan sulfate/heparin (HS-GAG) metabolism",1,1,1,0.244543028794436,1,1,1,0.824712756849455,1,1,0.513478885464081,0.694998232530119,1,1,0.801937153769019
"Cell Cycle",0.997830753731865,0.00800970525259025,0.773214861140704,1,2.001317600761e-09,0.993292446206986,1,0.893791978516752,1,1,0.178072006194442,1,1,0.998595229168485,1
"Disease",0.997830753731865,0.822418208722847,0.77412746552158,0.0890007131901229,0.418532338745248,1,1,1,0.824494520184627,1,0.308008577526998,0.676413871476677,1,1,0.843411922195324
"Collagen biosynthesis and modifying enzymes",0.940932010344607,0.537018154588022,1,0.959810325870837,1,1,1,1,0.824494520184627,1,0.885322729116789,0.532469591681268,1,0.734412573890908,1
"Regulation of cholesterol biosynthesis by SREBP (SREBF)",0.975241489048828,1,0.909741487500433,1,1,1,1,1,1,1,0.844043273483812,0.364854999112582,1,0.231812441745979,3.99592806832781e-05
"Toll Like Receptor 4 (TLR4) Cascade",0.940932010344607,0.502282406725147,1,0.306185722883435,0.334401918305297,0.749360857909302,1,1,1,1,1,1,0.90383722780576,0.991230810375526,0.457404633772597
"Synthesis of PIPs at the plasma membrane",0.940932010344607,1,1,0.445009457697074,1,0.174507874225694,1,0.966034228617045,0.592412722063881,0.856818396571706,1,0.837121034243977,1,0.933950369362703,1
"Activated TLR4 signalling",0.940932010344607,0.339646813911794,1,0.274645846389805,0.295059562679695,0.827897972890409,1,1,1,1,1,1,0.984384793541815,1,0.480239311271946
"MyD88:Mal cascade initiated on plasma membrane",0.940932010344607,0.305799393641962,1,0.348955711260938,0.198724656156293,0.855899978824717,1,1,1,1,1,1,0.954493579752265,1,0.819717440801677
"Sphingolipid de novo biosynthesis",1,1,1,0.959810325870837,1,0.957299638383551,1,0.893791978516752,1,0.741609784111952,0.446781641094614,1,0.90383722780576,1,0.449343845231589
"MyD88-independent TLR3/TLR4 cascade ",0.940932010344607,0.805551617546528,1,0.529626452042809,0.544500249465279,0.661038956919227,1,1,1,1,1,1,1,0.991230810375526,0.445679033898634
"Signalling by NGF",0.940932010344607,1,0.983322603575612,0.267518372552054,1,0.397795388532096,1,0.980125550005823,1,1,0.574047063031031,0.351653932532286,1,1,1
"Complement cascade",1,1,1,0.00061029951007437,1,1,1,0.986911775219931,0.828769388003795,1,1,1,0.90383722780576,0.942101137585889,1
"Initial triggering of complement",1,1,1,0.0254027308133922,1,1,1,1,0.861473234949136,1,0.88607754519134,1,0.639656857864347,1,1
"Signalling to RAS",1,1,0.773214861140704,0.403284544917717,0.871747959916181,0.622788496906004,1,0.911416956619709,1,1,0.844505669367197,0.960733109644068,1,1,1
"Toll Like Receptor 9 (TLR9) Cascade",0.940932010344607,0.455195502458021,1,0.497238801458236,0.47140901792426,0.867247919572348,1,0.893791978516752,1,1,1,1,1,0.929862712132447,0.449343845231589
"Toll Like Receptor 10 (TLR10) Cascade",0.940932010344607,0.482304539269732,1,1,0.683213626469586,0.661038956919227,1,1,1,1,1,1,1,1,0.898285963996288
"Toll Like Receptor 3 (TLR3) Cascade",0.940932010344607,0.805551617546528,1,0.529626452042809,0.544500249465279,0.661038956919227,1,1,1,1,1,1,1,0.991230810375526,0.445679033898634
"Toll Like Receptor 5 (TLR5) Cascade",0.940932010344607,0.482304539269732,1,1,0.683213626469586,0.661038956919227,1,1,1,1,1,1,1,1,0.898285963996288
"Toll Like Receptor TLR1:TLR2 Cascade",0.940932010344607,0.339646813911794,1,0.376965122581572,0.242302113140462,0.668972612776339,1,1,1,1,1,1,0.954493579752265,1,0.846197253939858
"Toll Like Receptor 7/8 (TLR7/8) Cascade",0.940932010344607,0.455195502458021,1,0.497238801458236,0.47140901792426,0.867247919572348,1,0.893791978516752,1,1,1,1,1,0.929862712132447,0.449343845231589
