"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Clathrin-mediated endocytosis",1,0.923383431714299,0.827036954570265,0.766523031331249,1,0.680914347463731,1,0.893239179502612,1,0.993805572472628,1,0.829703738415228,1,0.92258318159625,1
"Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors",0.988697214602234,0.962684274506477,0.994609909172335,1,1,1,0.016288151161718,0.369095828445181,0.725701910143724,0.997048169789662,1,0.699886442148784,1,1,1
"RAB geranylgeranylation",1,0.824272123950025,0.993966966531374,1,0.951570618096504,1,1,0.966813171481019,0.610227565612001,0.892862492522819,1,0.450907846826236,1,0.979438503693481,1
"MET activates PTK2 signaling",1,1,1,1,1,1,0.672447947131454,0.966813171481019,0.763273801738277,0.929469498654131,1,1,0.993004839365602,1,0.77531106828556
"MET promotes cell motility",1,1,0.95500229041377,1,1,1,0.663797475066431,0.966813171481019,0.862059477942628,0.907732002383493,1,1,0.893338465320171,1,0.870506028148429
"RAB GEFs exchange GTP for GDP on RABs",1,0.482252486709344,0.639070088156682,1,0.852791930724751,0.931016947080347,0.477788941146971,0.533201416268488,0.493480144604868,1,1,0.269692071765572,0.787782185856427,1,1
"Collagen chain trimerization",1,0.962921043081967,1,1,0.988376618865808,1,0.81366665221281,1,1,1,0.778361755362858,1,0.740807621983679,0.92258318159625,0.922249480322024
"Interferon alpha/beta signaling",1,1,0.833800050417594,1,1,0.743850095325499,0.639280961591502,1,1,1,0.858796956692643,0.9090971493194,1,1,1
"Meiotic recombination",1,1,1,0.000639928447846905,1,1,1,1,1,0.784202911902491,1,0.450907846826236,1,9.11976810059054e-08,1
"Interleukin receptor SHC signaling",0.921251407091753,0.838616187500603,1,1,1,0.948401879880456,0.269143417212219,1,0.493480144604868,1,0.778361755362858,1,0.797645289123319,0.92258318159625,1
"Interferon Signaling",1,1,1,1,1,0.743850095325499,0.301914553542508,1,1,1,0.699075600671349,0.2334696171586,1,1,1
"O-linked glycosylation of mucins",1,1,1,0.600861148473596,0.920799376633248,1,0.776644700141637,0.934526037004076,1,1,1,0.82979750947766,0.787782185856427,0.92258318159625,0.142813699601093
"Iron uptake and transport",0.921251407091753,0.849299147093749,1,1,0.852791930724751,1,1,0.845113034679278,1,0.929469498654131,1,1,1,1,1
"Ion transport by P-type ATPases",1,0.838616187500603,1,0.993783004880815,0.920799376633248,1,0.751380156962169,0.749696128826891,1,0.985205423606217,0.954447524366043,0.999536822959214,0.993004839365602,0.92258318159625,0.633995111159967
"TRIF-mediated TLR3/TLR4 signaling ",0.973385125703499,1,1,0.623204043318605,1,1,0.25509188959485,0.966813171481019,0.0990352550929176,1,0.699075600671349,1,1,0.488043882916193,1
"Transport to the Golgi and subsequent modification",0.976143021888545,0.838616187500603,0.246582604612389,0.000121635922679742,1,1,0.00470182892160113,1,1,1,1,0.89396850501489,1,0.787913524674316,0.633995111159967
"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",0.941274463045623,1,0.994609909172335,0.67222219442937,1,0.948401879880456,0.301914553542508,0.966813171481019,0.0355753271269187,0.997048169789662,0.762393769336534,1,1,0.854153694298364,1
"MyD88 dependent cascade initiated on endosome",0.941274463045623,1,0.994609909172335,0.67222219442937,1,0.948401879880456,0.301914553542508,0.966813171481019,0.0355753271269187,0.997048169789662,0.762393769336534,1,1,0.854153694298364,1
"Retinoid metabolism and transport",0.898499064573477,0.838616187500603,0.752959696374978,1,1,0.743850095325499,0.639280961591502,1,0.418317894509814,1,1,1,1,1,1
"MyD88 cascade initiated on plasma membrane",0.973385125703499,1,0.844267941877808,0.550968922168587,1,0.975324499902382,0.291180717049152,1,0.568403746943306,1,0.991782288283951,1,1,0.381961191807142,1
"Termination of O-glycan biosynthesis",0.941274463045623,0.756892576218805,1,0.86918241269489,1,1,1,0.856483431834929,1,1,1,1,1,0.937899282618852,0.270178575680537
"Amyloid fiber formation",1,1,1,0.0111714396263122,0.735212626004643,1,1,1,0.340174077889403,0.0311334027405828,1,0.256831276113949,1,0.000109822893489628,1
"GABA receptor activation",0.938876804418432,0.838616187500603,0.732399537372303,0.854099334844855,1,0.948401879880456,1,0.859488346037822,1,0.0171558992679926,1,0.588842495701261,0.759427439575813,1,1
"GABA B receptor activation",0.921251407091753,0.692385435554933,0.638566224691739,1,1,1,1,0.845113034679278,1,0.297714684739728,1,1,0.946660786015837,1,1
"Regulation of Complement cascade",1,0.809080782118768,0.752959696374978,1,0.840655676296529,1,0.857075162036797,1,0.0355753271269187,1,0.991782288283951,1,0.993501734111871,0.92258318159625,1
"Growth hormone receptor signaling",1,1,0.638566224691739,1,1,1,0.852201835882609,0.77396864983529,1,1,1,1,1,0.583999238241171,1
"Antigen processing: Ubiquitination & Proteasome degradation",1,0.96276487877581,0.732181700795916,0.166813448765339,0.00489691075342344,1,0.51929043515262,1,1,1,0.699075600671349,1,0.726591343041619,1,1
"Class I MHC mediated antigen processing & presentation",1,1,0.750493216478283,0.464218246905225,0.00418089111507911,1,0.668070747383927,1,0.138595860951468,1,0.699075600671349,1,0.726591343041619,1,1
"Kinesins",1,0.916176170230795,1,1.71934392898215e-09,1,1,0.0379664963232499,1,1,1,1,0.0491464514626389,0.941671005741709,0.256627546071512,1
"Factors involved in megakaryocyte development and platelet production",1,1,1,0.000462951076211172,1,1,0.150791036262967,1,1,0.985205423606217,1,0.0697171604432431,0.783747136171486,0.92258318159625,1
"Signaling by the B Cell Receptor (BCR)",1,1,0.993966966531374,1,1,1,0.417519171140256,0.845113034679278,0.493480144604868,1,0.699075600671349,1,0.824869723883801,0.86943570921394,1
"Ion channel transport",1,0.919420158054976,1,1,1,1,1,0.898113120676203,1,0.853351693818759,1,0.942964541216242,0.96760519764708,0.92258318159625,0.636292343348971
"Activation of GABAB receptors",0.921251407091753,0.692385435554933,0.638566224691739,1,1,1,1,0.845113034679278,1,0.297714684739728,1,1,0.946660786015837,1,1
