"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"Toll Like Receptor 5 (TLR5) Cascade",0.973385125703499,1,0.844267941877808,0.550968922168587,1,0.975324499902382,0.291180717049152,1,0.568403746943306,1,0.991782288283951,1,1,0.381961191807142,1
"Toll Like Receptor TLR1:TLR2 Cascade",1,1,0.858077805420849,0.854099334844855,1,1,0.400092610815026,0.966813171481019,0.000164460399133521,1,0.719653216999229,1,1,0.674157090999062,1
"Toll Like Receptor 7/8 (TLR7/8) Cascade",0.941274463045623,1,0.994609909172335,0.67222219442937,1,0.948401879880456,0.301914553542508,0.966813171481019,0.0355753271269187,0.997048169789662,0.762393769336534,1,1,0.854153694298364,1
"Toll Like Receptor TLR6:TLR2 Cascade",1,1,0.830041469265514,0.818401588109745,1,0.974494496892179,0.339864554125904,0.966813171481019,9.59108529815924e-05,1,0.699075600671349,1,1,0.583999238241171,1
"Innate Immune System",1,0.951455275126519,0.918174517462266,1,1,1,1,1,9.01324312297304e-57,0.830718114136172,0.719653216999229,1,1,0.966631533783508,1
"Immune System",1,1,0.732399537372303,1,1,1,0.195670943677276,1,1.36934149030574e-46,0.929469498654131,0.699075600671349,0.418985763889305,1,0.966631533783508,1
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",0.938876804418432,1,1,1,1,0.680914347463731,0.941708689004133,1,0.348342682123449,0.929469498654131,1,0.981272239070455,1,1,1
"Toll-Like Receptors Cascades",1,1,0.830041469265514,1,1,1,0.882517360400186,1,2.04073306229332e-11,1,0.991782288283951,0.981272239070455,1,0.92258318159625,1
"RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways",1,1,0.900773197308462,1,1,0.948401879880456,0.629269847344254,1,0.728762502350198,0.959109597953432,1,0.588842495701261,1,1,1
"Prolonged ERK activation events",0.921251407091753,0.797370559722531,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.778361755362858,1,0.88736175497084,0.944638665282935,1
"Signaling by TGF-beta Receptor Complex",1,0.797370559722531,0.0306608658634399,0.55430563574743,0.966257784804223,0.884698710906838,0.00872341564557254,0.480230661632013,1,0.830718114136172,0.699075600671349,0.811550492382465,1,0.86943570921394,1
"Frs2-mediated activation",0.921251407091753,0.797370559722531,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.778361755362858,1,0.88736175497084,0.944638665282935,1
"ARMS-mediated activation",0.921251407091753,0.797370559722531,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.778361755362858,1,0.88736175497084,0.944638665282935,1
"Packaging Of Telomere Ends",0.989663863940107,1,1,0.000436694182774353,1,1,1,1,1,0.940162653994844,1,0.430051936112787,1,4.93856874682853e-09,1
"Lipoprotein metabolism",0.92773034617844,0.999600191184885,0.752959696374978,0.663929428733043,1,0.996711552575495,0.399851884518316,1,1,1,0.699075600671349,0.632458833450419,1,0.372711988210414,1
"Signaling by EGFR",0.921251407091753,0.838616187500603,0.845593362179372,1,1,0.856284043820866,0.227452560427734,0.935711957154999,0.738036085058663,1,0.699075600671349,1,0.793478693619149,1,1
"Chondroitin sulfate/dermatan sulfate metabolism",0.938876804418432,0.838616187500603,0.638566224691739,1,0.830238696176851,0.907957597616867,0.950835761187036,1,0.130118619492569,1,1,1,1,1,1
"GRB2 events in EGFR signaling",0.921251407091753,0.838616187500603,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.767455918976054,1,0.848670067684616,0.937899282618852,1
"GAB1 signalosome",0.973385125703499,1,1,1,1,1,0.663797475066431,0.934136563042651,0.493480144604868,1,0.699075600671349,1,1,1,1
"SHC1 events in EGFR signaling",0.921251407091753,0.838616187500603,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.767455918976054,1,0.848670067684616,0.937899282618852,1
"Serotonin Neurotransmitter Release Cycle",1,0.482252486709344,0.732399537372303,1,1,1,0.354783745125477,0.993341722894549,1,0.929469498654131,1,0.877967595848767,1,0.92258318159625,0.654821051022011
"Norepinephrine Neurotransmitter Release Cycle",1,0.692385435554933,0.830041469265514,1,1,0.993101573883108,0.354302808766576,1,1,0.929469498654131,1,0.9303665888065,1,0.944638665282935,0.740687016840677
"Toll Like Receptor 2 (TLR2) Cascade",1,1,0.858077805420849,0.854099334844855,1,1,0.400092610815026,0.966813171481019,0.000164460399133521,1,0.719653216999229,1,1,0.674157090999062,1
"Organelle biogenesis and maintenance",1,0.838616187500603,1,8.76671380506043e-11,1,1,0.468499227657078,1,1,1,1,1,0.993004839365602,0.234581772307784,1
"Downstream signal transduction",0.921251407091753,0.838616187500603,0.934224954545137,1,1,0.776201840040041,0.268483967981657,1,0.687316489385257,0.994324371435758,0.753709090511354,1,0.765391567880823,1,1
"Signaling by PDGF",0.9450760209048,1,1,1,0.887985195508888,0.757160644884418,0.291180717049152,1,0.591798966819864,1,0.699075600671349,1,0.899062203938796,1,1
"NGF signalling via TRKA from the plasma membrane",0.921251407091753,0.838616187500603,0.934224954545137,1,1,0.798852672699737,0.275034184980906,0.975034585729078,0.744045229182426,1,0.767455918976054,1,0.818624383491669,1,1
"Signalling to ERKs",0.921251407091753,0.838616187500603,1,1,1,0.884698710906838,0.269143417212219,1,0.493480144604868,1,0.793531550367015,1,0.899062203938796,0.937528920984989,1
"Signalling to p38 via RIT and RIN",0.921251407091753,0.797370559722531,1,1,1,0.948401879880456,0.243154009965696,1,0.493480144604868,1,0.778361755362858,1,0.88736175497084,0.944638665282935,1
"Signaling by FGFR",0.938876804418432,0.738514406527261,1,1,0.923094791540416,1,1,0.77396864983529,1,1,1,1,0.765391567880823,1,1
"Gap junction trafficking",1,1,1,6.45696730459541e-09,1,1,0.206495857892118,1,1,1,1,1,0.908649887552154,0.119828077600164,0.967464429867599
"Gap junction assembly",1,1,0.94669729358459,3.66163714819779e-12,1,1,0.036639771540078,1,1,1,1,0.936642148303512,0.765391567880823,0.0499241352829399,0.966796002536855
"Transport of connexons to the plasma membrane",1,0.861175970748659,0.752959696374978,1.22388149260175e-18,1,1,0.000546718545541758,1,1,1,1,0.89396850501489,0.993004839365602,0.00340592846773827,1
"Pre-NOTCH Expression and Processing",1,1,0.860681916225133,0.88777327831737,1,1,1,0.970693793071425,0.58807132160223,1,0.830860433515881,1,1,0.583561530590291,0.77531106828556
"Synthesis of bile acids and bile salts",1,1,1,1,1,0.974494496892179,1,1,0.6336088950917,1,1,1,1,0.979438503693481,0.733485242508434
"NRAGE signals death through JNK",0.951649749954291,0.980652757377096,0.638566224691739,1,0.968626550757117,0.680914347463731,0.679773932126709,0.893239179502612,1,0.853351693818759,1,1,0.764292392698973,1,0.700404910989937
"p75 NTR receptor-mediated signalling",0.973385125703499,0.838616187500603,0.638566224691739,1,0.951570618096504,0.743850095325499,0.243154009965696,0.983069439555456,1,0.929469498654131,1,1,0.92510078659967,1,0.77127973979158
"Bile acid and bile salt metabolism",1,1,1,1,1,1,1,1,0.493480144604868,1,1,1,1,1,0.68749473856919
"Signaling by VEGF",0.938876804418432,0.841146558118123,0.998690059361523,1,1,0.743850095325499,0.244320309581572,1,0.610227565612001,1,0.930500273625864,1,0.994088277809021,0.966631533783508,1
"Signaling by Rho GTPases",0.938876804418432,1,1,1.23221861301971e-05,1,1,0.94947475099738,1,1,0.297535637541325,1,0.0523604309427589,0.793478693619149,0.0271675240921336,0.963080044642193
"Rho GTPase cycle",0.941274463045623,1,0.934224954545137,0.920651294431141,0.918920280103956,0.743850095325499,1,1,0.949070549741674,0.372085204303047,1,1,0.726591343041619,1,0.733485242508434
"RHO GTPase Effectors",0.951649749954291,1,1,1.37632108926577e-09,1,1,0.485498516367004,0.966813171481019,1,0.726160774246008,1,0.000601671606085292,1,0.000477886911407351,1
"Signaling by Wnt",0.921251407091753,1,0.752959696374978,0.000414183793134938,1,0.969064686003537,1,0.966813171481019,1,0.0311334027405828,1,0.877967595848767,1,0.138891826718552,1
"Nicotinate metabolism",0.898499064573477,1,0.564695564182576,1,1,0.948401879880456,0.979008489224666,1,0.0860551239637121,1,1,1,1,1,1
"Metabolism of water-soluble vitamins and cofactors",0.938876804418432,0.962921043081967,0.638566224691739,1,0.983441203546768,1,1,1,0.418317894509814,1,1,1,0.924268387573215,1,1
"Metabolism of vitamins and cofactors",0.921251407091753,0.861175970748659,0.638566224691739,1,1,0.930586646807689,0.857599516410937,1,0.141955104454273,1,1,1,1,1,1
"A tetrasaccharide linker sequence is required for GAG synthesis",0.941274463045623,0.841146558118123,0.890554415569355,1,0.851736157291333,0.884698710906838,0.468499227657078,1,0.0630631838397161,1,1,1,1,1,0.870506028148429
"Signaling by NOTCH1",0.989663863940107,1,0.00554979281553917,1,1,0.901090758957822,0.581294361092448,0.369095828445181,1,0.929469498654131,0.762393769336534,1,1,1,0.964485567211671
"Signaling by NOTCH2",1,1,0.0461709625946697,1,1,1,0.664421217319255,0.777723645507473,1,1,1,1,1,0.965648828451865,0.943367834681845
"PI3K/AKT activation",0.973385125703499,1,0.998690059361523,1,1,1,0.531801763136218,0.886438690594218,0.478241478837471,1,0.767455918976054,1,1,1,1
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",1,1,0.638566224691739,1,0.838226471305104,1,1,0.98867373868098,1.18787900914017e-07,0.95982886716971,0.740849229240549,0.0523604309427589,1,0.973505781259604,1
"PPARA activates gene expression",1,1,1,1,1,1,0.270858381198575,1,0.0860551239637121,1,0.699075600671349,0.89396850501489,1,0.65654290087927,1
"Negative regulation of the PI3K/AKT network",0.973385125703499,1,1,1,1,1,1,0.859731708356105,0.267685269680086,1,0.762393769336534,1,0.993004839365602,1,1
"ER to Golgi Anterograde Transport",1,0.838616187500603,0.582184544694876,1.655857813491e-07,1,1,0.00251903864680714,1,0.928354408795396,1,1,1,0.993004839365602,0.204745457686312,0.654821051022011
"Membrane Trafficking",1,0.523663637862076,0.638566224691739,0.0651940162162047,0.838226471305104,0.884698710906838,0.201243101558166,0.77396864983529,1,1,1,0.0803491606622444,0.890086605628858,0.92258318159625,1
"trans-Golgi Network Vesicle Budding",0.973385125703499,0.916176170230795,0.805014219185793,1,0.852791930724751,0.842747819271451,0.312812697315684,1,0.876669016846428,1,0.778985982256586,1,0.765391567880823,0.735271508756202,1
"Signaling by BMP",1,1,0.998690059361523,1,0.756815406169829,0.948401879880456,1,1,1,1,1,1,1,1,1
"TCF dependent signaling in response to WNT",0.921251407091753,1,0.830041469265514,0.000928258532299114,1,0.973895793224523,1,1,1,0.0311334027405828,1,0.638595671536614,0.993004839365602,0.00484050220121016,1
"Formation of the beta-catenin:TCF transactivating complex",1,1,1,0.0108001213870734,1,1,1,1,1,0.11390294947208,1,0.0697171604432431,1,2.40263902330082e-06,1
"G-protein activation",0.973385125703499,0.916176170230795,0.638566224691739,0.959532221758216,0.641180822454826,0.801992182527123,1,0.428640292290712,1,0.726160774246008,0.930500273625864,1,1,1,1
"Metabolism of nitric oxide",0.921251407091753,1,1,1,1,0.884698710906838,0.963527372318109,0.845113034679278,1,1,1,0.981272239070455,1,0.956645453154011,0.791673996195639
"Assembly of collagen fibrils and other multimeric structures",1,1,1,1,0.999709363621903,1,0.919620840880731,1,0.88955594952271,1,1,1,1,0.970417820032785,1
"Keratan sulfate biosynthesis",0.995552494593061,1,1,1,1,1,1,0.643583842921317,0.655724535279611,1,0.98173484123228,0.913947534372686,1,1,0.833332549641269
"Chondroitin sulfate biosynthesis",0.973385125703499,0.756892576218805,0.998690059361523,1,0.712221335322824,0.973895793224523,1,0.845602388073427,0.0151487587441488,1,0.794020637491098,0.981272239070455,1,1,0.821247048058178
"HS-GAG biosynthesis",0.938876804418432,0.962921043081967,0.826715989736394,1,0.917819479349017,0.427277574014767,0.810166693845078,1,0.907111041840146,1,1,1,1,1,1
"TCR signaling",1,1,1,1,0.641180822454826,1,1,1,1,1,0.699075600671349,0.0452433114677551,1,0.333402363297182,1
"HS-GAG degradation",0.938876804418432,0.838616187500603,0.752959696374978,1,0.948603521076708,0.762124039473519,0.475509654888096,1,0.493480144604868,1,1,1,1,0.996808875344734,1
"Downstream TCR signaling",1,1,1,1,0.49201541306836,1,1,1,1,1,0.699075600671349,0.169848374542973,1,0.0780756698432703,1
"Phosphorylation of CD3 and TCR zeta chains",1,1,1,1,0.49201541306836,1,1,1,1,1,0.970053251061347,0.238784370332015,1,0.188563551773037,1
"Translocation of ZAP-70 to Immunological synapse",1,1,1,1,0.49201541306836,1,1,1,1,1,1,0.354627114529264,1,0.0716534117520466,1
